id,name,mail_address_1,mail_address_2,city,state,country,zip,phone,fitter,retailer,longitude,latitude,created_at,updated_at,place_id,website,formatted_address,google_places_name,email,duplicate_domain,source_brand,source_url,added_to_ac,sent_email
1,Pete's Golf Shop,208 E Jericho Tpke,"Mineola, NY 11501-2034",Mineola,NY,UNITED STATES,11501-2034,516-248-6891,true,true,,,,,,http://www.petesgolf.com/,"208 E Jericho Turnpike, Mineola, NY 11501, USA",Pete's Golf Shop,,,,,,
2,The Golf Guys,3440 Renaissance Blvd Ste 8,"Bonita Springs, FL 34134-7004",Bonita Springs,FL,UNITED STATES,34134-7004,239-948-9840,true,true,,,,,,http://thegolfguysonline.com/,"3440 Renaissance Blvd UNIT 8, Bonita Springs, FL 34134, USA",Golf Guys The,,,,,,
3,New York Golf Center,131 W 35th St Frnt 1,"New York, NY 10001-2111",New York,NY,UNITED STATES,10001-2111,212-564-2255,true,true,,,,,,http://www.nygolfcenter.com/,"131 W 35th St, New York, NY 10001, USA",New York Golf Center,,,,,,
4,Moon Golf,6300 N Wickham Rd Ste 124b,"Melbourne, FL 32940-2037",Melbourne,FL,UNITED STATES,32940-2037,321-752-0078,true,true,,,,,,http://www.moongolf.com/,"6300 N Wickham Rd #124b, Melbourne, FL 32940, USA",Moon Golf- Melbourne,,,,,,
5,Summit Golf School,18 Augusta Pines Dr,"Spring, TX 77389-3592",Spring,TX,UNITED STATES,77389-3592,281-516-1002,true,true,,,,,,http://www.summitgolfschool.com/,"18 Augusta Pines Dr Suite 1000, Spring, TX 77389, USA",Summit Golf School,,,,,,
6,Army Navy Country Club,1700 Army Navy Dr,"Arlington, VA 22202-1640",Arlington,VA,UNITED STATES,22202-1640,703-979-5826,true,true,,,,,,http://www.ancc.org/,"1700 Army Navy Dr, Arlington, VA 22202, USA",Army Navy Country Club,,,,,,
7,Haggin Oaks Golf Shop,3645 Fulton Ave,"Sacramento, CA 95821-1808",Sacramento,CA,UNITED STATES,95821-1808,916-808-2526,true,true,,,,,,http://www.hagginoaks.com/,"3645 Fulton Ave, Sacramento, CA 95821, USA",Haggin Oaks Golf Super Shop,,,,,,
8,PGA TOUR Superstore Greenwood Village,9451 E Arapahoe Rd,"Greenwood Village, CO 80112-3632",Greenwood Village,CO,UNITED STATES,80112-3632,720-266-2400,true,true,,,,,,https://www.pgatoursuperstore.com/stores/greenwood-village-denver-colorado/0601.html,"9451 E Arapahoe Rd, Greenwood Village, CO 80112, USA",PGA TOUR Superstore,,,,,,
9,Golf Headquarters,4610 N Garfield St Ste C3,"Midland, TX 79705-2654",Midland,TX,UNITED STATES,79705-2654,432-686-7367 ,true,true,,,,,,https://www.shopgolfhq.com/,"4610 N Garfield St # C3, Midland, TX 79705, USA",Golf Headquarters,,,,,,
10,PGA TOUR Superstore Downers Grove,1017 Butterfield Rd,"Downers Grove, IL 60515-1007",Downers Grove,IL,UNITED STATES,60515-1007,630-824-2080,true,true,,,,,,https://www.pgatoursuperstore.com/stores/downers-grove-illinois/0702.html,"1017 Butterfield Rd, Downers Grove, IL 60515, USA",PGA TOUR Superstore,,,,,,
11,Bobick's Golf,5200 Bluffton Rd,"Fort Wayne, IN 46809-2164",Fort Wayne,IN,UNITED STATES,46809-2164,260-747-4404,true,true,,,,,,http://www.bobicksgolf.com/,"5200 Bluffton Rd, Fort Wayne, IN 46809, USA",Bobick's Golf Inc,,,,,,
12,Golf Capital Learning Center,200 Netherton Ln,"Crossville, TN 38555-2685",Crossville,TN,UNITED STATES,38555-2685,931-707-0711,true,true,,,,,,http://www.golfcapitaltn.com/programs/,"200 Netherton Ln, Crossville, TN 38555, USA",Golf Capital Learning Center,,,,,,
13,Miles of Golf,3113 Carpenter Rd,"Ypsilanti, MI 48197-9603",Ypsilanti,MI,UNITED STATES,48197-9603,734-973-9004,true,true,,,,,,http://www.milesofgolf.com/,"3113 Carpenter Rd, Ypsilanti, MI 48197, USA",Miles of Golf,,,,,,
14,Carls Golfland Inc,1976 S Telegraph Rd,"Bloomfield Hills, MI 48302-0245",Bloomfield Hills,MI,UNITED STATES,48302-0245,248-335-8095,true,true,,,,,,http://www.carlsgolfland.com/,"1976 S Telegraph Rd, Bloomfield Hills, MI 48302, USA",Carl's Golfland,,,,,,
15,Van's Golf Shops - Scottsdale,8720 E Frank Lloyd Wright Blvd,"Scottsdale, AZ 85260-1926",Scottsdale,AZ,UNITED STATES,85260-1926,480-483-1800,true,true,,,,,,https://www.worldwidegolfshops.com/locations/van-s-golf-shops-scottsdale-8720-e--frank-lloyd-wright-blvd.html,"8720 E. Frank Lloyd Wright Blvd, Scottsdale, AZ 85260, USA",Van's Golf Shops,,,,,,
16,Valley Golf Center,12247 W Indian School Rd,"Avondale, AZ 85392-5646",Avondale,AZ,UNITED STATES,85392-5646,623-935-9351,true,true,,,,,,http://www.valleygolfcenteraz.com/,"12247 W Indian School Rd, Avondale, AZ 85392, USA",Valley Golf Center,,,,,,
18,Corsis Indoor Golf Inc,929 E Pittsburgh St,"Greensburg, PA 15601-3503",Greensburg,PA,UNITED STATES,15601-3503,724-850-2400,true,true,,,,,,http://www.corsisgolf.com/,"929 E Pittsburgh St, Greensburg, PA 15601, USA",Corsi's Indoor Golf Inc,,,,,,
19,Carlsbad Golf Center,2711 Haymar Dr,"Carlsbad, CA 92008-1260",Carlsbad,CA,UNITED STATES,92008-1260,760-720-4653,true,true,,,,,,http://www.carlsbadgolfcenter.com/,"2711 Haymar Dr, Carlsbad, CA 92010, USA",Carlsbad Golf Center,,,,,,
20,Roger Dunn - Santa Ana,1421 Village Way,"Santa Ana, CA 92705-4714",Santa Ana,CA,UNITED STATES,92705-4714,714-558-0074,true,true,,,,,,https://www.worldwidegolfshops.com/locations/roger-dunn-golf-shops-santa-ana-1421-village-way.html,"1421 Village Way, Santa Ana, CA 92705, USA",Roger Dunn Golf Shops,,,,,,
21,Low Country Custom Golf,1137 Johnnie Dodds Blvd,"Mount Pleasant, SC 29464-3101",Mount Pleasant,SC,UNITED STATES,29464-3101,843-442-2160 ,true,true,,,,,,http://www.lowcountrycustomgolf.com/,"1137 Johnnie Dodds Blvd, Mt Pleasant, SC 29464, USA",David Ayres' Lowcountry Custom Golf,,,,,,
22,Golf Care Center,4853 Cordell Ave,"Bethesda, MD 20814-7015",Bethesda,MD,UNITED STATES,20814-7015,301-652-6094,true,true,,,,,,http://www.golfcarecenter.com/,"4828 Del Ray Ave, Bethesda, MD 20814, USA",Golf Care Center Inc,,,,,,
23,Edwin Watts Golf - Orlando,7501 Turkey Lake Rd,"Orlando, FL 32819-5223",Orlando,FL,UNITED STATES,32819-5223,407-345-8451 ,true,true,,,,,,https://www.worldwidegolfshops.com/locations/edwin-watts-golf-orlando-7501-turkey-lake-rd-.html,"7501 Turkey Lake Rd, Orlando, FL 32819, USA",Edwin Watts Golf,,,,,,
24,Pennington Golf Center,29 Route 31 S,"Pennington, NJ 08534-2507",Pennington,NJ,UNITED STATES,08534-2507,609-737-2244,true,true,,,,,,http://www.penningtongolfcenter.com/,"29 NJ-31, Pennington, NJ 08534, USA",Pennington Golf Center,,,,,,
25,Perfect Swing Golf,33 Main St,"Toms River, NJ 08753-7435",Toms River,NJ,UNITED STATES,08753-7435,(732) 503-4709,true,true,,,,,,http://www.perfectswinggolf.com/site/,"33 N Main St, Toms River, NJ 08753, USA",Perfect Swing Golf,,,,,,
26,Fiddlers Green Golf Co Inc,91292 Highway 99 N,"Eugene, OR 97402-9651",Eugene,OR,UNITED STATES,97402-9651,541-689-8464,true,true,,,,,,http://www.fiddlersgreen.com/,"91292 State Hwy 99 N, Eugene, OR 97402, USA",Fiddler's Green Golf Center,,,,,,
27,Puetz Aurora,11762 Aurora Ave N,"Seattle, WA 98133-8248",Seattle,WA,UNITED STATES,98133-8248,206-362-2272 ,true,true,,,,,,http://www.puetzgolf.com/seattle-superstore-&-driving-range,"11762 Aurora Ave N, Seattle, WA 98133, USA",Puetz Golf Seattle Superstore,,,,,,
28,Golf and Ski Warehouse,2 Friel Golf Rd,"Hudson, NH 03051-5247",Hudson,NH,UNITED STATES,03051-5247,603-595-8484,true,true,,,,,,http://www.golfskiwarehouse.com/,"2 Friel Golf Rd, Hudson, NH 03051, USA",Golf & Ski Warehouse Inc,,,,,,
