id,name,mail_address_1,mail_address_2,city,state,country,zip,phone,longitude,latitude,place_id,website,formatted_address,google_places_name,email,duplicate_domain,created_at,updated_at,source_brand,source_url
14,Kalamazoo Shop / Promoglisse.com,5 Place Rene Guy Cadou 44250 St Brevin L'Ocean France,,St Brevin L'Ocean,,France,44250,Tel: +33/(0)2 40 27 15 06,-2.1753158,47.2286494,4twtmADtcZYeVtwSgjnGrQ,Promoglisse.com,"5 Place Rene Guy Cadou 
  44250 St Brevin L'Ocean 
  France",,info@promoglisse.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
15,Waimea,Residence Des Sables D'Or - Chambre D'Amour 64600 Anglet France,,Anglet,,France,64600,Tel: 05 59 03 81 18 / Fax: 05 59 03 81 18,-1.541382,43.501067,gUSd-KV1fjxhNk5bkYj-DA,www.waimea.fr,"Residence Des Sables D'Or - Chambre D'Amour 
  64600 Anglet 
  France",,waimeasurfshop64@gmail.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
16,Surf One,2 Avenue de Septimanie 11370 Port Leucate France,,Port Leucate,,France,11370,Tel: +33 4 68 40 92 11 / Fax: +33 4 68 48 64 17,3.035554,42.853886,nezyo1jfQyAR6xdBlEEN2Q,http://www.surfone-leucate.com,"2 Avenue de Septimanie 
  11370 Port Leucate 
  France",,contact@surfoneleucate.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
17,Flysurf - NOCIKA,250 Chemin des Bastides des Rollands 13450 Grans France,,Grans,,France,13450,Tel: 04 42 41 53 65,5.096685,43.660475,_z4dNfcReoL5oH_UdNK3nQ,www.flysurf.com,"250 Chemin des Bastides des Rollands 
  13450 Grans 
  France",,contact@flysurf.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
18,Les pieds dans l'eau,Z.A. Marcel Dassault 64140 Lons France,,Lons,,France,64140,Tel: 05 59 06 58 09,-0.410847,43.300428,FW3MIpvYc2aMw3kfdg5ZnA,http://www.piedanlo.fr,"Z.A. Marcel Dassault 
  64140 Lons 
  France",,piedanlo@wanadoo.fr,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
19,La Voile Libre,Route du Cavaou 13270 Fos sur mer France,,Fos sur mer,,France,13270,Tel: +33 442051615,4.94591,43.437539,cDDdhqR4DivtMH6ZRnuQhg,www.lavoilelibre.com,"Route du Cavaou 
  13270 Fos sur mer 
  France",,info@lavoilelibre.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
20,Gliss Attitude,17 Montée du CDT Robien 13008 Marseille France,,Marseille,,France,13008,Tel: +33 491452771,5.489404,43.290093,3fiYs59cVBEAL1oQ-_iA4Q,www.glissattitude.com,"17 Montée du CDT Robien 
  13008 Marseille 
  France",,info@glissattitude.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
21,Freeride Attitude,763 Boulevard d'Alger 83600 Frejus France,,Frejus,,France,83600,Tel: +33 49517300 / Mobile: 0954676045,6.754376,43.423111,gmoaVnV6PGRUuRdmF6tidQ,www.freeride-attitude.com,"763 Boulevard d'Alger 
  83600 Frejus 
  France",,contact@freeride-attitude.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
22,Dls Kiteboarding Company Sarl,13 Rue Des Chenes Verts 85470 Bretignolles Sur Mer France,,Bretignolles Sur Mer,,France,85470,Tel: +33/(0)2 51 22 54 99,-1.8538591,46.6262646,e5hwLnrlilpQ8Nob89bCmg,"","13 Rue Des Chenes Verts 
  85470 Bretignolles Sur Mer 
  France",,contact@dls-kiteboard.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
23,Sail And Board,12 Route De La Roche Sur Yon 85360 La Tranche Sur Mer France,,La Tranche Sur Mer,,France,85360,Tel: +33/(0)2 51 30 36 02 / Fax: +33/(0)2 51 30 36 83,-1.3967991,46.4103188,eTrgK-16QuhgMvgvEtUrPg,+33/(0)2 51 30 36 83,"12 Route De La Roche Sur Yon 
  85360 La Tranche Sur Mer 
  France",,pascal.bothorel@wanadoo.fr,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
24,Surf Avenue La Rochelle,12 Rue De La Bonette 17000 La Rochelle France,,La Rochelle,,France,17000,Tel: +33 546 44 45 32,-1.1613021,46.1411049,nmbAnE2ggybYnnwNUD2uMQ,www.surfavenuelarochelle.com,"12 Rue De La Bonette 
  17000 La Rochelle 
  France",,quai34lr@yahoo.fr,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
25,Quai34 Bordeaux,101 rue Francois Sourdis 33000 Bordeaux France,,Bordeaux,,France,33000,Tel: +33 5 56 93 22 96,-0.588203,44.833272,FOBA1S-FKRPzUw1r8fckFw,www.glissup.fr,"101 rue Francois Sourdis 
  33000 Bordeaux 
  France",,quai34bx@hotmail.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
26,Impact Surf Shop,67 Avenue du Général de Gaulle 69300 Caluire France,,Caluire,,France,69300,Tel: +33 472275988,4.85561,45.808722,RIk_niLMawoREgA4IcCSOQ,www.impact-surfshop.com,"67 Avenue du Général de Gaulle 
  69300 Caluire 
  France",,contact@impact-surfshop.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
27,La Glisse,Zc Le Grand Epagny 74330 Epagny France,,Epagny,,France,74330,Tel: 04 50 22 03 38 / Fax: 04 50 22 27 28,6.07906,45.939344,VK9RBcmAu-DYBZE9eZc1Gg,www.laglisse.com,"Zc Le Grand Epagny 
  74330 Epagny 
  France",,contact@laglisse.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
28,Croconuts, 4 Rue de la Savonnerie 68460 Lutterbach France,,Lutterbach,,France,68460,Tel: +33 3 89 57 41 01,7.267335,47.756497,FLscdXrpSSVo_wIwkH4Cgw,www.crocoboardshop.com," 4 Rue de la Savonnerie 
  68460 Lutterbach 
  France",,info@croconuts.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:43 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
29,Clinique De La Planche,4 place de la demi lune 14000 Caen France,,Caen,,France,14000,Tel: 0231838416,0.338044299999979,49.174508,RSUYBo_XP5bG_M93yVkitw,"","4 place de la demi lune 
  14000 Caen 
  France",,cliniquedelaplanche@wanadoo.fr,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
30,Airwave,1 Rue Du Machicoulis 62200 Boulogne Sur Mer France,,Boulogne Sur Mer,,France,62200,Tel: +33 3 21 30 63 89,1.597518,50.729775,sfilPNXn5r1b-ALMYeeeJw,www.airwave-shop.com,"1 Rue Du Machicoulis 
  62200 Boulogne Sur Mer 
  France",,contact@airwave-shop.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
31,Kalamazoo,5 Place Rene Guy Cadou 44250 St Brévin l'Ocean France,,St Brévin l'Ocean,,France,44250,Tel: +33 240 271506 / Fax: +33 240 649603,-2.1753158,47.2286494,CJtizV92lA_Pf8C1DrfM5Q,www.promoglisse.com,"5 Place Rene Guy Cadou 
  44250 St Brévin l'Ocean 
  France",,odansin@club-internet.fr,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:43 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
32,Tam-Tam,82 Rue Claude Nicolas Ledoux 30900 Nimes France,,Nimes,,France,30900,Tel: +33 466213000,4.347392,43.815822,-SVDoQDlQJWgZDGyQygfjw,www.tamtamshop.com,"82 Rue Claude Nicolas Ledoux 
  30900 Nimes 
  France",,tamtam.30@wanadoo.fr,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
33,Clinique de la Planche,11 rue de la dives 14000 caen France,,caen,,France,14000,Tel: 02 31 83 84 16 / Fax: 02 31 34 51 30,-0.3372676,49.1734019,8E2LiqNjA_Znb8GIm8XpXw,02 31 34 51 30,"11 rue de la dives 
  14000 caen 
  France",,ecole.kitesurf@cliniquedelaplanche.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
34,Gliss Pro Shop,200 ALLEE JEAN FRANCOIS LESUEUR 34070 Montpellier France,,Montpellier,,France,34070,Tel: 0411932230,3.855525,43.577824,OsHZph8127StG7MUK2U5ig,glisse-proshop.com,"200 ALLEE JEAN FRANCOIS LESUEUR 
  34070 Montpellier 
  France",,contact@glisse-proshop.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
35,Source Boardshop,13 avenue de Chavoires 74940 Annecy le Vieux France,,Annecy le Vieux,,France,74940,Tel: 0033450668044,6.159845,45.904378,SIGhsgoqK_cC64etmGadyQ,sourceboardshop.com,"13 avenue de Chavoires 
  74940 Annecy le Vieux 
  France",,contact@sourceboardshop.com,false,2019-03-29 10:03:04 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
36,Multifun,34 Rue Montesquieu 49000 Angers France,,Angers,,France,49000,Tel: +33 241 73 09 07,-0.58193,47.473226,4lP291jyTvH0rYlv79VxjQ,www.multi-fun.com,"34 Rue Montesquieu 
  49000 Angers 
  France",,multifun@wanadoo.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
37,Surf Avenue Dinard,Z A De La Marre 35780 La Richardais France,,La Richardais,,France,35780,Tel: +33 299 461 278,-2.045207,48.612837,F-0BfaKrxpgWYT2eMxYplA,www.surfavenue-rennes.com,"Z A De La Marre 
  35780 La Richardais 
  France",,surfavenuedinard@laposte.net,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
38,Kite Spirit,ZI du Moustoir 56950 Crach France,,Crach,,France,56950,Tel: +33 297 50 87 03,-2.9872663,47.6690414,P0-2Nn-sxuEcFPmwsWoMbg,"","ZI du Moustoir 
  56950 Crach 
  France",,info@kite-spirit.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
39,Au Spot,80 Rue Balard 75015 Paris France,,Paris,,France,75015,Tel: +33 1 45 57 00 00,2.278102,48.839168,ljohf6JCExZQeLwLkeX6ow,www.auspot.fr,"80 Rue Balard 
  75015 Paris 
  France",,auspot@gmail.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
40,Tam Tam Bonifacio,Route Santa Manza 20169 Bonifacio France,,Bonifacio,,France,20169,Tel: +33 495731159,9.167757,41.414841,GotXXcP2tGyb8ffUlxaVjA,www.tam-tam.fr,"Route Santa Manza 
  20169 Bonifacio 
  France",,infos@tam-tam.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
41,Nature Kite,1 avenue de la Bergerie 83400 Hyeres France,,Hyeres,,France,83400,Tel: 0688768168 / Mobile: 04 94 21 97 57 / Fax: 0672955374,6.147556,43.04785,9ctfje8EjN2mknUnv6clNQ,http://www.nature-kite-shop.com,"1 avenue de la Bergerie 
  83400 Hyeres 
  France",,hubert.alexandre@terreetnature.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
42,Vague et Vent,Avenue Frederic Fabregues 34250 Palavas les Flots France,,Palavas les Flots,,France,34250,Tel: +33 467682294,3.933493,43.528906,mFzxqjq1yohcPNo5RcpT1g,http://www.vagueetvent.com,"Avenue Frederic Fabregues 
  34250 Palavas les Flots 
  France",,contact@vagueetvent.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
43,Top Kite,Avenue du Passeur Challiès 34300  Le Cap d'Agde France,,Le Cap d'Agde,,France,34300 ,Tel: +33 6 27777247 / Mobile: 0632671711,3.501588,43.279251,a_E0Y4cgwzGg7oNlZ6WB9A,www.topkite.fr,"Avenue du Passeur Challiès 
  34300  Le Cap d'Agde 
  France",,contact@topkite.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
44,Quai 34 Narbonne,Route de Perpignan 11100 Narbonne France,,Narbonne,,France,11100,Tel: +33 468411734,2.982789,43.160178,JlXapmEO5HgVOLKeAqlhMg,www.fun-diffusion.com,"Route de Perpignan 
  11100 Narbonne 
  France",,fundiffusion@orange.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
